Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.30,-.05,-.40,-.12,-.02,-.81,-.52,-.30,-.14,-.10,-.04,.05,.67
1881,-.09,-.18,.00,-.37,.11,-.07,-.92,-.49,-.21,.11,.11,-.06,-.07,.60
1882,-.11,-.22,-.01,-.33,-.04,.01,-1.42,-.31,-.16,-.04,-.04,.01,.04,.63
1883,-.18,-.30,-.07,-.37,-.16,-.01,-.19,-.59,-.29,-.17,-.15,-.04,.07,.50
1884,-.29,-.44,-.15,-.63,-.14,-.14,-1.31,-.67,-.49,-.12,-.16,-.20,-.02,.65
1885,-.34,-.45,-.24,-.67,-.13,-.28,-1.50,-.70,-.48,-.07,-.20,-.34,-.15,.82
1886,-.32,-.44,-.20,-.58,-.20,-.22,-1.58,-.53,-.42,-.22,-.18,-.21,-.20,.59
1887,-.37,-.45,-.29,-.54,-.30,-.29,-1.76,-.54,-.31,-.30,-.30,-.28,-.26,.32
1888,-.18,-.24,-.12,-.43,.10,-.29,-1.30,-.45,-.26,.06,.13,-.32,-.23,.16
1889,-.11,-.19,-.04,-.31,.08,-.17,-.68,-.25,-.29,.01,.14,-.16,-.15,.45
1890,-.36,-.40,-.33,-.48,-.37,-.23,-1.14,-.59,-.29,-.27,-.47,-.18,-.27,.15
1891,-.23,-.27,-.20,-.45,-.08,-.22,-1.12,-.37,-.38,.00,-.17,-.19,-.24,-.15
1892,-.28,-.41,-.16,-.45,-.30,-.09,-1.14,-.69,-.18,-.33,-.27,.01,-.21,.09
1893,-.32,-.48,-.16,-.51,-.37,-.05,-.60,-.56,-.47,-.42,-.32,.06,-.20,-.04
1894,-.32,-.39,-.24,-.33,-.37,-.24,-.90,-.35,-.19,-.50,-.24,-.15,-.35,-.37
1895,-.24,-.31,-.17,-.41,-.09,-.26,-.64,-.55,-.28,-.15,-.04,-.20,-.32,-.58
1896,-.11,-.19,-.04,-.35,.10,-.16,-.82,-.39,-.23,.07,.13,-.16,-.13,.26
1897,-.11,-.16,-.06,-.36,.18,-.24,-.51,-.48,-.25,.16,.20,-.20,-.27,.40
1898,-.28,-.28,-.27,-.36,-.22,-.27,-1.13,-.26,-.24,-.16,-.27,-.28,-.21,.38
1899,-.18,-.21,-.15,-.25,-.13,-.19,-1.00,-.12,-.16,-.15,-.10,-.16,-.22,.58
1900,-.08,-.09,-.07,-.21,.17,-.30,-.52,-.18,-.16,.10,.25,-.29,-.29,.27
1901,-.16,-.12,-.19,-.16,-.04,-.31,-.34,-.12,-.16,-.05,-.03,-.28,-.34,.26
1902,-.28,-.34,-.23,-.54,-.04,-.35,-1.50,-.52,-.33,-.01,-.06,-.28,-.43,-.05
1903,-.37,-.38,-.37,-.47,-.28,-.39,-.20,-.44,-.57,-.23,-.34,-.36,-.40,-.49
1904,-.48,-.49,-.47,-.52,-.46,-.44,-.20,-.61,-.56,-.43,-.50,-.38,-.49,-1.32
1905,-.26,-.29,-.23,-.41,-.08,-.36,-.02,-.24,-.63,-.10,-.06,-.33,-.37,-.34
1906,-.23,-.23,-.22,-.26,-.19,-.24,-.25,-.08,-.40,-.20,-.19,-.21,-.22,-.72
1907,-.39,-.47,-.30,-.59,-.30,-.30,-.54,-.74,-.53,-.29,-.32,-.22,-.37,-1.20
1908,-.43,-.45,-.41,-.48,-.44,-.36,-.20,-.56,-.52,-.41,-.47,-.30,-.48,.67
1909,-.49,-.49,-.48,-.54,-.48,-.44,-.71,-.63,-.45,-.43,-.53,-.38,-.52,-.57
1910,-.44,-.44,-.43,-.42,-.48,-.39,-.58,-.25,-.50,-.47,-.50,-.34,-.45,.16
1911,-.44,-.42,-.46,-.42,-.42,-.48,-.25,-.43,-.48,-.41,-.43,-.45,-.52,.05
1912,-.36,-.46,-.25,-.60,-.18,-.37,-.48,-.80,-.51,-.26,-.10,-.37,-.29,-1.64
1913,-.34,-.42,-.27,-.45,-.27,-.35,-.46,-.34,-.52,-.38,-.15,-.29,-.40,-1.04
1914,-.15,-.19,-.11,-.25,-.06,-.18,-.32,-.17,-.29,-.10,-.02,-.16,-.18,-.37
1915,-.14,-.14,-.14,-.23,-.01,-.22,-.55,-.17,-.20,.00,-.02,-.16,-.23,-1.99
